epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.547,0.55256,1.68934,0.91125,0.47352,0.93094,0.72403,0.68009,0.33046,11.9817,0.77552,0.0678049,0.000325203,0.000325203
2,95.5298,0.34822,0.81898,0.81825,0.71568,0.67327,0.66664,0.62547,0.33389,2.0513,0.78064,0.0348009,0.000654523,0.000654523
3,110.25,0.29601,0.74467,0.81206,0.80472,0.72164,0.77992,0.75365,0.29162,1.56721,0.76976,0.00178085,0.00096784,0.00096784
4,140.298,0.29534,0.658,0.81113,0.80505,0.75771,0.73539,0.68354,0.26921,2.84877,0.77233,0.000946048,0.000946048,0.000946048
5,158.792,0.26697,0.65051,0.80126,0.79643,0.75407,0.85506,0.84442,0.2048,1.25249,0.75769,0.000905463,0.000905463,0.000905463
6,185.601,0.25049,0.57164,0.80296,0.83108,0.84473,0.92395,0.92038,0.20383,0.56356,0.75773,0.000855018,0.000855018,0.000855018
7,208.522,0.23373,0.60001,0.80581,0.85079,0.8746,0.93403,0.93403,0.12767,0.39258,0.75111,0.000795954,0.000795954,0.000795954
8,229.397,0.23253,0.58288,0.80379,0.83355,0.86736,0.94045,0.93997,0.16902,0.41047,0.75398,0.000729725,0.000729725,0.000729725
9,258.429,0.21456,0.52629,0.80285,0.83988,0.88873,0.95118,0.95118,0.13224,0.35918,0.75173,0.000657963,0.000657963,0.000657963
10,273.836,0.206,0.5354,0.79996,0.78407,0.87483,0.92781,0.92781,0.1456,0.55945,0.75424,0.000582435,0.000582435,0.000582435
11,305.165,0.15598,0.4444,0.77169,0.65249,0.93836,0.89247,0.89247,0.1177,0.61416,0.7522,0.000505,0.000505,0.000505
12,321.033,0.14557,0.45476,0.77665,0.88289,0.77622,0.88266,0.88266,0.10572,1.219,0.75069,0.000427565,0.000427565,0.000427565
13,345.522,0.13321,0.41106,0.7837,0.81888,0.92,0.95024,0.95024,0.09724,0.36736,0.75042,0.000352037,0.000352037,0.000352037
14,368.328,0.12179,0.37418,0.777,0.78787,0.94804,0.94711,0.94711,0.08688,0.33494,0.74974,0.000280275,0.000280275,0.000280275
15,385.675,0.11942,0.35192,0.77452,0.80985,0.95156,0.95524,0.95524,0.07945,0.28869,0.74965,0.000214046,0.000214046,0.000214046
16,414.204,0.11395,0.34928,0.77708,0.80944,0.93788,0.95458,0.95458,0.07492,0.32247,0.74899,0.000154982,0.000154982,0.000154982
17,430.252,0.1037,0.33967,0.78232,0.86222,0.87493,0.95232,0.95232,0.06123,0.30444,0.74851,0.000104537,0.000104537,0.000104537
18,456.762,0.09974,0.32366,0.78359,0.82743,0.92768,0.95656,0.95656,0.0576,0.29224,0.74822,6.39518e-05,6.39518e-05,6.39518e-05
19,479.633,0.09601,0.3065,0.76967,0.82962,0.92699,0.95644,0.95644,0.05318,0.28712,0.74802,3.4227e-05,3.4227e-05,3.4227e-05
20,499.142,0.09601,0.29667,0.76919,0.82694,0.9305,0.9564,0.9564,0.05451,0.28303,0.74805,1.60943e-05,1.60943e-05,1.60943e-05
